aX,aY,aZ,gX,gY,gZ
0.007,0.933,0.274,2.319,-0.916,-2.502
0.004,0.934,0.272,2.441,-0.977,-2.625
0.000,0.932,0.271,2.625,-0.610,-2.869
-0.005,0.929,0.273,2.930,-0.366,-2.319
-0.006,0.921,0.277,3.601,-0.122,-1.648
0.000,0.916,0.281,3.174,0.000,-1.160
0.005,0.917,0.288,2.808,-0.122,-1.160
0.012,0.923,0.283,2.563,-0.549,-1.404
0.016,0.932,0.268,3.052,-1.099,-1.648
0.008,0.931,0.255,3.235,-2.014,-2.075
0.002,0.926,0.253,3.235,-2.502,-2.075
-0.004,0.915,0.265,3.113,-2.686,-1.831
-0.014,0.902,0.279,2.563,-2.258,-1.404
-0.017,0.906,0.278,1.709,-1.160,-0.854
0.001,0.922,0.260,1.282,-0.366,-0.854
-0.005,0.921,0.255,0.916,-0.732,-1.343
-0.016,0.921,0.263,0.244,-1.221,-1.343
-0.018,0.913,0.276,0.061,-1.343,-0.793
-0.021,0.901,0.282,-0.610,-1.221,0.061
-0.021,0.894,0.285,-1.648,-0.671,0.977
-0.024,0.888,0.286,-2.563,0.183,1.343
-0.026,0.898,0.273,-3.174,0.977,1.404
0.006,0.939,0.243,-2.258,1.160,1.282
0.024,0.960,0.240,-0.305,0.671,0.854
0.021,0.969,0.251,0.549,0.061,0.244
0.019,0.957,0.268,0.854,0.183,-0.122
0.018,0.945,0.279,0.916,0.793,0.366
0.011,0.929,0.281,1.221,1.221,0.916
0.004,0.911,0.280,1.282,1.526,0.854
-0.006,0.896,0.276,1.343,2.075,0.488
-0.021,0.884,0.268,1.343,2.319,0.183
0.001,0.910,0.244,0.854,2.136,-0.061
0.012,0.935,0.234,-0.061,0.610,-0.793
-0.001,0.943,0.243,-0.671,-0.854,-1.526
0.004,0.937,0.264,-0.122,-0.610,-1.587
0.011,0.932,0.280,0.305,0.305,-0.854
0.021,0.940,0.276,0.305,1.221,0.061
0.037,0.955,0.259,0.671,1.404,0.122
0.033,0.956,0.246,2.014,0.061,-1.160
0.016,0.943,0.249,3.357,-1.343,-2.380
0.007,0.928,0.262,4.578,-1.770,-2.625
-0.002,0.921,0.277,5.249,-0.977,-2.197
-0.013,0.906,0.284,5.188,0.244,-1.343
-0.010,0.900,0.279,4.700,1.221,-0.732
-0.014,0.902,0.271,3.723,1.648,-0.549
-0.021,0.901,0.266,2.991,1.465,-0.793
-0.016,0.906,0.268,2.380,1.160,-0.977
-0.013,0.916,0.271,1.709,0.732,-0.916
-0.006,0.924,0.273,1.282,0.366,-0.732
0.003,0.935,0.271,0.854,0.183,-0.549
0.006,0.938,0.274,0.854,-0.183,-0.366
0.011,0.942,0.273,1.343,-0.183,-0.244
0.009,0.935,0.275,2.197,-0.427,-0.427
0.002,0.926,0.276,2.930,-0.671,-0.610
-0.002,0.917,0.279,3.418,-0.732,-0.671
-0.011,0.903,0.282,3.540,-0.427,-0.427
-0.015,0.896,0.283,3.113,0.000,0.061
-0.016,0.902,0.276,2.991,0.366,0.732
-0.019,0.900,0.271,2.441,0.549,1.160
-0.018,0.904,0.275,1.892,0.854,1.587
-0.002,0.918,0.273,1.587,0.977,1.770
0.007,0.929,0.271,1.282,0.610,1.526
0.011,0.939,0.271,1.282,0.305,0.977
0.026,0.956,0.271,1.526,0.122,0.610
0.029,0.959,0.271,2.136,-0.488,-0.122
0.021,0.953,0.275,2.930,-1.160,-1.038
0.013,0.937,0.282,3.723,-1.404,-1.404
0.002,0.921,0.282,4.333,-1.343,-1.160

3.854,2.819,2.440,-550.964,251.526,140.198
-0.485,2.354,1.086,-244.995,-147.766,252.319
-0.673,1.733,0.706,-131.042,-141.235,210.937
0.866,1.795,-0.706,81.848,4.822,85.144
1.169,2.309,-1.042,177.368,10.010,-78.369
0.633,2.047,0.044,172.913,-17.822,-192.444
