aX,aY,aZ,gX,gY,gZ
-0.184,0.958,-0.099,1.404,-1.221,6.165
-0.190,0.948,-0.095,1.160,-1.099,7.324
-0.191,0.943,-0.098,1.160,-1.099,7.935
-0.193,0.936,-0.099,2.014,-1.160,7.446
-0.188,0.930,-0.094,3.479,-1.221,6.348
-0.193,0.927,-0.091,4.272,-1.587,5.310
-0.196,0.920,-0.089,4.639,-1.404,4.883
-0.192,0.916,-0.092,4.517,-1.343,4.578
-0.192,0.917,-0.094,3.418,-1.404,4.150
-0.186,0.910,-0.099,1.587,-1.343,3.418
-0.192,0.912,-0.108,-0.610,-1.526,3.296
-0.199,0.920,-0.115,-2.930,-1.526,3.845
-0.198,0.930,-0.123,-4.639,-1.648,4.700
-0.204,0.933,-0.129,-4.944,-2.014,5.310
-0.210,0.932,-0.135,-4.578,-2.136,5.859
-0.213,0.936,-0.139,-4.150,-1.526,6.104
-0.216,0.947,-0.140,-2.808,-0.366,6.042
-0.222,0.952,-0.133,-0.977,0.793,5.676
-0.222,0.957,-0.126,0.793,1.831,4.700
-0.217,0.956,-0.114,3.174,2.563,3.540
-0.217,0.948,-0.101,5.737,2.625,1.953
-0.220,0.935,-0.092,7.568,2.380,0.122
-0.224,0.929,-0.083,8.423,2.686,-0.854
-0.216,0.932,-0.078,8.362,3.296,-1.221
-0.208,0.937,-0.080,8.240,3.296,-1.465
-0.202,0.934,-0.078,7.935,2.869,-1.404
-0.201,0.935,-0.076,5.859,1.709,-1.465
-0.200,0.942,-0.074,2.991,0.549,-1.770
-0.198,0.942,-0.076,0.610,-0.488,-2.075
-0.196,0.949,-0.078,0.305,-1.648,-2.441
-0.199,0.951,-0.085,1.160,-2.014,-2.441
-0.194,0.955,-0.090,2.563,-2.014,-2.075
-0.191,0.965,-0.093,2.869,-1.282,-1.465
-0.197,0.966,-0.094,2.075,-0.427,-2.014
-0.190,0.967,-0.107,0.854,0.549,-2.808
-0.191,0.965,-0.105,1.099,1.343,-2.686
-0.192,0.969,-0.102,1.282,2.502,-2.319
-0.187,0.965,-0.103,1.648,3.723,-1.953
-0.182,0.959,-0.100,1.770,4.639,-2.197
-0.181,0.959,-0.096,1.892,5.005,-2.441
-0.180,0.968,-0.090,1.648,4.944,-2.441
-0.177,0.974,-0.086,2.686,4.395,-2.319
-0.181,0.982,-0.083,4.456,4.028,-1.648
-0.180,0.987,-0.084,5.310,4.028,-0.793

3.332,1.005,0.477,-18.250,-44.922,-150.696
3.692,1.926,0.419,105.164,-71.960,-159.058
3.412,2.711,0.268,241.577,-77.393,-196.899
3.058,3.115,0.013,368.958,-75.378,-239.624
2.212,2.655,-0.129,439.270,-72.998,-266.785
1.409,1.879,-0.540,383.423,-68.176,-252.380
1.062,1.608,-1.101,202.576,-82.214,-171.143
0.324,2.330,-0.999,-14.404,-124.512,-37.781
0.118,2.591,-1.033,-211.304,-112.854,36.621
0.049,2.446,-1.022,-298.157,-74.768,101.990
-0.065,1.965,-1.070,-307.312,-34.241,140.564
-0.273,1.787,-0.904,-267.517,0.854,164.917
-0.228,1.643,-0.707,-191.650,40.222,160.522
-0.088,1.339,-0.530,-95.642,69.580,125.183
-0.023,0.927,-0.430,-8.179,73.425,88.684
-0.083,0.606,-0.312,39.673,63.660,61.829
-0.145,0.530,-0.153,47.974,55.359,43.640
-0.136,0.562,-0.008,37.354,53.894,30.762
-0.171,0.615,0.140,27.466,55.786,18.433
-0.140,0.633,0.193,23.743,58.594,4.883
-0.109,0.630,0.213,23.193,53.345,-7.324
-0.102,0.681,0.224,24.963,42.358,-16.052
-0.119,0.767,0.200,29.114,28.381,-21.545
-0.134,0.835,0.134,35.339,13.550,-25.146
-0.138,0.926,0.063,40.894,-0.488,-28.076
-0.129,1.017,-0.007,44.861,-11.230,-30.579
-0.135,1.062,-0.092,46.997,-18.005,-32.471
-0.158,1.075,-0.147,45.532,-19.409,-31.250
-0.153,1.100,-0.198,38.879,-15.198,-26.062
-0.142,1.132,-0.231,27.222,-6.775,-18.250
-0.148,1.154,-0.242,16.724,1.831,-9.460
-0.128,1.167,-0.238,10.559,9.705,-2.808
-0.126,1.140,-0.213,9.705,15.137,1.770
-0.135,1.123,-0.168,11.475,17.212,4.822
-0.136,1.095,-0.121,14.893,18.921,6.287
-0.147,1.053,-0.090,18.616,19.409,6.775
-0.138,1.017,-0.068,20.081,18.188,6.226
-0.135,0.967,-0.068,19.104,13.916,4.944
-0.150,0.900,-0.063,16.052,8.362,3.540
-0.168,0.851,-0.058,9.094,3.845,4.517
-0.189,0.833,-0.067,-1.892,1.343,7.019
-0.199,0.831,-0.073,-12.268,0.610,9.033
-0.211,0.854,-0.085,-19.775,0.305,9.827
